"siteA","siteB","MI","MInorm","morphA","morphB","wMI","wMInorm","wmorphA","wmorphB","Dprime","R2"
"8","49",0.0685431385462583,0.098886846067652,2,2,0.0685431385462583,0.098886846067652,2,2,1,0.0940429042904291
"8","81",0.321760807724746,0.464202721656919,2,2,0.321760807724746,0.464202721656919,2,2,0.87455035971223,0.561386287009996
"8","96",0.00295784312390956,0.00426726560659184,2,2,0.00295784312390956,0.00426726560659184,2,2,0.287769784172662,0.00569841156777549
"8","98",0.00295784312390956,0.00426726560659184,2,2,0.00295784312390956,0.00426726560659184,2,2,0.287769784172662,0.00569841156777549
"8","102",0.0106762441892915,0.0154025645472105,2,5,0.00574917679180177,0.00829430884672633,2,2,NA,NA
"8","186",0.244121322574014,0.352192621452785,2,2,0.244121322574014,0.352192621452785,2,2,0.717428151719462,0.450985280719491
"8","269",0.35487268466487,0.511973062312961,2,3,0.354298651286552,0.511144907204757,2,2,NA,NA
"8","325",0.348841330085439,0.503271656971373,2,3,0.348216307314112,0.502369939718737,2,2,NA,NA
"8","343",0.199542755324968,0.28787934355265,2,2,0.199542755324968,0.28787934355265,2,2,1,0.293674137288206
"8","375",0.516450548127327,0.745080644647681,2,4,0.516238735513776,0.744775063640514,2,2,NA,NA
"8","401",0.195876812539487,0.282590506075855,2,3,0.194966290971832,0.281276901125576,2,2,NA,NA
"8","453",0.0546239411380268,0.0788056889936419,2,4,0.0161340946300509,0.0232765783120077,2,2,NA,NA
"8","482",0.495965702631729,0.715527259637806,2,4,0.495564201670951,0.71494801619278,2,2,NA,NA
"8","500",0.0437829845749539,0.063165494721604,2,4,0.00775259440581514,0.011184629503293,2,2,NA,NA
"8","501",0.000142713437182534,0.000205891968091461,2,2,0.000142713437182534,0.000205891968091461,2,2,0.018705035971223,0.000285514162927083
"8","506",0.557799439143657,0.804734484663199,2,2,0.557799439143657,0.804734484663199,2,2,1,0.88428125424189
"8","512",0.335710261165835,0.484327528959489,2,3,0.335252464996234,0.483667068695867,2,2,NA,NA
"8","608",0.495564201670951,0.71494801619278,2,2,0.495564201670951,0.71494801619278,2,2,0.925524170064066,0.82584234244776
"8","630",0.351877957293502,0.507652583985474,2,2,0.351877957293502,0.507652583985474,2,2,1,0.546873371547681
"8","633",0.172417808676667,0.248746317538769,2,2,0.172417808676667,0.248746317538769,2,2,1,0.250475247524752
"8","636",0.344246949758253,0.496643367257384,2,2,0.344246949758253,0.496643367257384,2,2,1,0.534008869636964
"8","663",0.331098712808084,0.477674471012941,2,3,0.327580451196349,0.472598692433142,2,2,NA,NA
"8","708",0.319310776594213,0.460668073894874,2,3,0.318701130735897,0.459788540838383,2,2,NA,NA
"8","734",0.296968964248566,0.428435652019338,2,2,0.296968964248566,0.428435652019338,2,2,0.858194369360003,0.521881105624776
"8","740",0.414910505755464,0.59858932906614,2,3,0.4147708337314,0.598387824929671,2,2,NA,NA
"8","757",0.364330795523686,0.525618231945152,2,2,0.364330795523686,0.525618231945152,2,2,0.880653315185689,0.63287874383394
"8","773",0.369927071909945,0.533691952135052,2,4,0.369487087339752,0.533057188577568,2,2,NA,NA
"8","779",0.000204420830270518,0.000294916918085681,2,2,0.000204420830270518,0.000294916918085681,2,2,0.0400893030479518,0.000410738828052693
"8","783",0.00491599668555768,0.00709228403928064,2,2,0.00491599668555768,0.00709228403928064,2,2,0.350613626745662,0.00936831650139585
"8","785",0.301585172075167,0.435095432158489,2,2,0.301585172075167,0.435095432158489,2,2,1,0.462119006018249
"8","796",0.335252464996234,0.483667068695867,2,2,0.335252464996234,0.483667068695867,2,2,0.876652867650014,0.58432808792269
"8","826",0.402165559954259,0.580202258962342,2,3,0.402165559954259,0.580202258962342,2,2,NA,NA
"8","872",0.346460914113538,0.499837442653459,2,4,0.344614871829833,0.497174166605487,2,2,NA,NA
"8","879",0.327280268420719,0.47216562023138,2,2,0.327280268420719,0.47216562023138,2,2,0.863709032773781,0.57391157364988
"8","882",0.162671627773908,0.234685550682753,2,2,0.162671627773908,0.234685550682753,2,2,0.973901729680086,0.248384565482405
"8","883",0.329458354651096,0.475307934434574,2,2,0.329458354651096,0.475307934434574,2,2,1,0.509067488381491
"8","902",0.346352607007105,0.499681188528115,2,3,0.346188274998715,0.499444107554551,2,2,NA,NA
